Taxon	Mnemonic	Scientific name
491869		Abeomelomys
491870		Abeomelomys sevia
491889		Abeomelomys sevia tatei
1258731		Abrawayaomys
1718143		Abrawayaomys chebezi
1258732		Abrawayaomys ruschii
108854		Abrocoma
108855	ABRBE	Abrocoma bennettii
126352		Abrocoma bennettii bennettii
1568925		Abrocoma boliviensis
126064		Abrocoma cinerea
108853		Abrocomidae
156196		Abrothrix
89096	ABRAN	Abrothrix andinus
1392492		Abrothrix andinus polius
573592		Abrothrix hershkovitzi
1615796		Abrothrix hirta
978106		Abrothrix illuteus
241142	ABRJE	Abrothrix jelskii
1392495		Abrothrix jelskii inambarii
553233		Abrothrix lanosus
29094	ABRLO	Abrothrix longipilis
1392504		Abrothrix longipilis moerens
1617949		Abrothrix manni
430900		Abrothrix markhami
29098	ABROL	Abrothrix olivaceus
70165		Abrothrix olivaceus beatus
70166		Abrothrix olivaceus brachiotis
70167		Abrothrix olivaceus canescens
70168		Abrothrix olivaceus olivaceus
156370		Abrothrix olivaceus pencanus
682468		Abrothrix sanborni
156200		Abrothrix sp. FMNH129874
156197		Abrothrix xanthorhinus
156199		Abrothrix xanthorhinus xanthorhinus
58056		Acerodon
58057		Acerodon celebensis
505845	ACEJU	Acerodon jubatus
2721785		Acerodon mackloti
338151		Acinonychinae
32535		Acinonyx
32536	ACIJB	Acinonyx jubatus
1590992		Acinonyx jubatus jubatus
2714991		Acinonyx jubatus soemmeringii
2714992		Acinonyx jubatus venaticus
10067		Acomys
10068	ACOCA	Acomys cahirinus
1890046		Acomys cf. cineraceus
2448863		Acomys cf. cineraceus DPL-2017
2496240		Acomys cf. cineraceus K4_3340
2496242		Acomys cf. cineraceus KE708
2496212		Acomys cf. cineraceus KE709
2496213		Acomys cf. cineraceus KE734
2496241		Acomys cf. cineraceus KE738
2496252		Acomys cf. kempi ET104
2496216		Acomys cf. kempi ETH0332
2496217		Acomys cf. kempi ETH0390
2496253		Acomys cf. kempi KE074
2496260		Acomys cf. kempi KE075
2496261		Acomys cf. kempi KE089
2496249		Acomys cf. kempi KE111
2496250		Acomys cf. kempi KE125
2496251		Acomys cf. kempi KE136
2496256		Acomys cf. kempi KE142
2496257		Acomys cf. kempi KE144
2496255		Acomys cf. kempi KE151
2496219		Acomys cf. kempi KE824
2496220		Acomys cf. kempi KE883
2496258		Acomys cf. kempi KE888
2496259		Acomys cf. kempi KE889
2496254		Acomys cf. kempi KE906
2496247		Acomys cf. kempi LAV2933
2496248		Acomys cf. kempi LAV2938
2496246		Acomys cf. kempi LAV3126
2496227		Acomys cf. mullah ET163
2496228		Acomys cf. mullah ET164
2496229		Acomys cf. mullah ET167
2496215		Acomys cf. mullah ET168
2496230		Acomys cf. mullah ET169
2496231		Acomys cf. mullah ET183
2496232		Acomys cf. mullah ET184
2496214		Acomys cf. mullah ETH0033
2496245		Acomys cf. mullah ETH0041
2496222		Acomys cf. mullah ETH0060
2496243		Acomys cf. mullah ETH1225
2496244		Acomys cf. mullah ETH1226
2496226		Acomys cf. wilsoni E030
2496225		Acomys cf. wilsoni E042
2496239		Acomys cf. wilsoni KE028
2496238		Acomys cf. wilsoni KE030
2496234		Acomys cf. wilsoni KE042
2496237		Acomys cf. wilsoni TZ27522
2496235		Acomys cf. wilsoni TZ27881
2496236		Acomys cf. wilsoni TZ27882
645539		Acomys chudeaui
83530		Acomys cilicicus
92878		Acomys cineraceus
60744		Acomys dimidiatus
60745	ACOIG	Acomys ignitus
81632		Acomys johannis
83762		Acomys kempi
2496262		Acomys louisae
83528	ACOMI	Acomys minous
1072561		Acomys muzei
83529		Acomys nesiotes
1072560		Acomys ngurui
