yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
CH10_STRAW	Q820G1	CH10_STRAW	reviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES SAV_4991	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A031GJ45	A0A031GJ45	A0A031GJ45_9BURK	unreviewed	Uncharacterized protein	BW37_04308	Janthinobacterium lividum	499		
A0A059GAC8	A0A059GAC8	A0A059GAC8_9PROT	unreviewed	Mannitol dehydrogenase	HOC_04417	Hyphomonas oceanitis SCH89	346	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A068N3H3	A0A068N3H3	A0A068N3H3_SYNY4	unreviewed	Arsenical pump-driving ATPase (EC 3.6.3.16)	D082_20940	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	362	GO:0016787	hydrolase activity [GO:0016787]
A0A072N966	A0A072N966	A0A072N966_9DEIO	unreviewed	S-layer protein	RDMS_10460	Deinococcus sp. RL	858		
A0A074TKP4	A0A074TKP4	A0A074TKP4_9RHOB	unreviewed	30S ribosomal protein S19	rpsS DL1_12890	Thioclava dalianensis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A076HPL4	A0A076HPL4	A0A076HPL4_9BACT	unreviewed	Uncharacterized protein	N008_04050	Hymenobacter sp. APR13	1183		
A0A084EMW0	A0A084EMW0	A0A084EMW0_SPHYA	unreviewed	Outer membrane receptor for ferrienterochelin and colicins (TonB-dependent receptor)	BV87_03260 CP98_02215	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	991	GO:0009279	cell outer membrane [GO:0009279]
A0A085F7S6	A0A085F7S6	A0A085F7S6_9BRAD	unreviewed	30S ribosomal protein S19	rpsS FG93_03830	Bosea sp. LC85	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A085K6R4	A0A085K6R4	A0A085K6R4_SPHYA	unreviewed	TonB-dependent receptor	EBF16_21390 IH86_09375	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	991	GO:0009279	cell outer membrane [GO:0009279]
