Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,PTM,Avg. Mass,Description
105,215555,tr|A0A2R9AX99|A0A2R9AX99_PANPA,262.91,39,5,3,6,2,24,25,21,13,27,35,12,29,2,0,6.9694E2,1.4662E2,5.8262E2,3.7323E2,4.9409E4,1.2872E4,8.6982E3,1.8128E4,1.0979E4,5.5026E4,3.4833E3,3.1608E4,0,,15,15,2,1,4,1,24,13,11,31,12,63,5,40,1,0,Deamidation (NQ); Oxidation (M),57108,IF rod domain-containing protein OS=Pan paniscus OX=9597 GN=KRT9 PE=3 SV=1
105,15,P35527|K1C9_HUMAN,262.91,35,5,2,6,2,22,23,19,12,24,31,11,26,2,0,6.9694E2,1.4662E2,5.8262E2,3.7323E2,4.9409E4,1.2872E4,8.6982E3,1.8128E4,1.0979E4,5.5026E4,3.4833E3,3.1608E4,0,,15,15,2,1,4,1,24,13,11,31,12,63,5,40,1,0,Deamidation (NQ); Oxidation (M),62064,Keratin  type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3
105,215564,tr|H2QCZ6|H2QCZ6_PANTR,262.91,35,5,2,6,2,22,23,19,12,24,31,11,26,2,0,6.9694E2,1.4662E2,5.8262E2,3.7323E2,4.9409E4,1.2872E4,8.6982E3,1.8128E4,1.0979E4,5.5026E4,3.4833E3,3.1608E4,0,,15,15,2,1,4,1,24,13,11,31,12,63,5,40,1,0,Deamidation (NQ); Oxidation (M),62064,Keratin 9 OS=Pan troglodytes OX=9598 GN=KRT9 PE=3 SV=2
105,215565,tr|A0A6D2VYW7|A0A6D2VYW7_PANTR,262.91,35,5,2,6,2,22,23,19,12,24,31,11,26,2,0,6.9694E2,1.4662E2,5.8262E2,3.7323E2,4.9409E4,1.2872E4,8.6982E3,1.8128E4,1.0979E4,5.5026E4,3.4833E3,3.1608E4,0,,15,15,2,1,4,1,24,13,11,31,12,63,5,40,1,0,Deamidation (NQ); Oxidation (M),62064,KRT9 isoform 1 OS=Pan troglodytes OX=9598 GN=CK820_G0039031 PE=3 SV=1
151,1,P35908|K22E_HUMAN,255.05,43,2,2,11,2,6,6,6,17,33,24,8,27,0,0,3.1148E2,,6.3689E2,,,,,3.1514E3,7.4621E3,5.3505E3,,1.9866E3,,,22,6,1,2,10,1,12,4,3,28,20,44,9,40,0,0,Oxidation (M),65433,Keratin  type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2
119,216020,tr|A0A7G8W4X9|A0A7G8W4X9_9BURK,251.31,40,0,15,13,22,19,25,40,0,0,0,0,0,0,0,,1.0793E4,6.0161E3,2.1453E4,1.3363E5,4.0303E4,1.951E5,,,,,,,,13,12,0,13,10,18,57,28,71,0,0,0,0,0,0,0,Deamidation (NQ); Oxidation (M),45065,Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1
5,215491,tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN,248.76,46,0,28,37,34,3,27,32,12,27,17,32,19,0,0,,,1.0617E4,1.9133E3,,,,,,,,,,,22,4,0,41,63,54,1,21,31,23,76,18,69,31,0,0,Deamidation (NQ); Oxidation (M),57979,60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1
93,215494,tr|G3QDX0|G3QDX0_GORGO,238.68,39,2,0,18,5,19,11,16,22,24,33,23,25,0,0,3.0937E2,,1.0445E4,1.9849E3,6.1806E4,5.2866E3,8.5185E3,3.4241E4,3.8064E4,6.708E4,1.2345E4,1.3409E4,,,17,12,4,0,9,2,17,4,8,33,18,83,11,30,0,0,Deamidation (NQ); Oxidation (M),51970,Keratin 10 OS=Gorilla gorilla gorilla OX=9595 GN=KRT10 PE=3 SV=2
93,215495,tr|A0A2R9BVY1|A0A2R9BVY1_PANPA,238.68,40,2,0,18,5,20,11,16,22,25,34,23,25,0,0,3.0937E2,,1.0445E4,1.9849E3,6.1806E4,5.2866E3,8.5185E3,3.4241E4,3.8064E4,6.708E4,1.2345E4,1.3409E4,,,17,12,4,0,9,2,17,4,8,33,18,83,11,30,0,0,Deamidation (NQ); Oxidation (M),50877,IF rod domain-containing protein OS=Pan paniscus OX=9597 GN=KRT10 PE=3 SV=1
93,6,P13645|K1C10_HUMAN,238.68,33,2,0,15,4,16,9,14,18,21,28,19,21,0,0,3.0937E2,,1.0445E4,1.9849E3,6.1806E4,5.2866E3,8.5185E3,3.4241E4,3.8064E4,6.708E4,1.2345E4,1.3409E4,,,17,12,4,0,9,2,17,4,8,33,18,83,11,30,0,0,Deamidation (NQ); Oxidation (M),58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
93,215496,tr|A0A6D2XF65|A0A6D2XF65_PANTR,238.68,33,2,0,15,4,17,9,14,19,21,28,19,21,0,0,3.0937E2,,1.0445E4,1.9849E3,6.1806E4,5.2866E3,8.5185E3,3.4241E4,3.8064E4,6.708E4,1.2345E4,1.3409E4,,,17,12,4,0,9,2,17,4,8,33,18,83,11,30,0,0,Deamidation (NQ); Oxidation (M),58279,KRT10 isoform 1 OS=Pan troglodytes OX=9598 GN=CK820_G0039100 PE=3 SV=1
93,215497,tr|H2QCX3|H2QCX3_PANTR,238.68,33,2,0,15,4,17,9,14,19,21,28,19,21,0,0,3.0937E2,,1.0445E4,1.9849E3,6.1806E4,5.2866E3,8.5185E3,3.4241E4,3.8064E4,6.708E4,1.2345E4,1.3409E4,,,17,12,4,0,9,2,17,4,8,33,18,83,11,30,0,0,Deamidation (NQ); Oxidation (M),58279,Keratin 10 OS=Pan troglodytes OX=9598 GN=KRT10 PE=3 SV=1
4,215538,tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN,236.30,46,0,20,22,22,3,19,20,17,46,17,36,21,0,0,,,,,,,,7.805E2,9.1198E3,,4.6675E3,,,,23,3,0,34,38,43,1,15,22,35,103,18,87,35,0,0,Deamidation (NQ); Oxidation (M),57652,60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1
43,215498,tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN,232.59,41,0,15,18,17,3,15,15,16,36,13,36,18,0,0,,,,,,,,3.1622E3,6.4065E2,,5.3857E3,2.7639E2,,,20,3,0,20,30,33,1,14,18,23,62,16,51,25,0,0,Deamidation (NQ); Oxidation (M),58025,60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1
42,216274,tr|A0A2T1DD05|A0A2T1DD05_9CYAN,226.34,26,2,22,26,24,2,8,22,2,8,6,15,2,0,0,,1.0995E5,1.5364E5,1.7746E5,,2.8371E2,1.4452E4,,1.4107E2,1.1336E2,9.5542E2,,,,12,8,5,54,85,91,1,11,24,1,5,3,13,2,0,0,Deamidation (NQ),63463,S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1
134,216026,tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN,215.14,29,0,12,27,19,0,21,17,2,16,3,16,3,0,0,,,2.7801E3,,,1.6479E2,,,,,,,,,14,2,0,23,35,40,0,12,20,2,22,4,22,3,0,0,Deamidation (NQ); Oxidation (M),58584,60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1
180,216233,tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN,215.04,20,0,11,10,20,2,10,8,0,0,0,0,0,0,0,,2.0596E5,6.4709E4,3.3067E5,3.8413E2,1.8792E5,1.9849E4,,,,,,,,11,11,0,37,24,57,1,28,10,0,0,0,0,0,0,0,Deamidation (NQ); Oxidation (M),69036,Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1
