yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
CH60_GEMAT	C1A8L8	CH60_GEMAT	reviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL GAU_1536	Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505)	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
PHCB1_PSETP	Q52446	PHCB1_PSETP	reviewed	C-phycocyanin-1 beta subunit	cpcB1	Pseudanabaena tenuis (strain PCC 7409)	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A059G4T7	A0A059G4T7	A0A059G4T7_9PROT	unreviewed	50S ribosomal protein L7/L12	rplL HOC_15477	Hyphomonas oceanitis SCH89	125	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A060NQV1	A0A060NQV1	A0A060NQV1_9BURK	unreviewed	Elongation factor Tu (EF-Tu)	tufA tuf SRAA_2029	Serpentinomonas raichei	396	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A060NR85	A0A060NR85	A0A060NR85_9BURK	unreviewed	Elongation factor Tu (EF-Tu)	tufA tuf SMCB_2049	Serpentinomonas mccroryi	396	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A072YN03	A0A072YN03	A0A072YN03_CLONO	unreviewed	Putative regulatory protein Z958_02495	Z958_02495	Clostridium novyi B str. NCTC 9691	90		
A0A073CTD6	A0A073CTD6	A0A073CTD6_PLAAG	unreviewed	RbcR	rbcR A19Y_2354	Planktothrix agardhii NIVA-CYA 126/8	329	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A091B1Q9	A0A091B1Q9	A0A091B1Q9_9GAMM	unreviewed	Elongation factor Tu (Fragment)	tuf P873_14615	Arenimonas composti TR7-09 = DSM 18010	392	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A094QBA7	A0A094QBA7	A0A094QBA7_9ACTN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL GM46_3435	actinobacterium acAcidi	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A095TI69	A0A095TI69	A0A095TI69_9GAMM	unreviewed	Uncharacterized protein	T9A_01297	Alcanivorax jadensis T9	506		
A0A096PAM8	A0A096PAM8	A0A096PAM8_OSTTA	unreviewed	Photosystem II PsbO, manganese-stabilising	OT_ostta14g00150	Ostreococcus tauri	302	GO:0009654; GO:0010207; GO:0010242; GO:0042549	photosystem II oxygen evolving complex [GO:0009654]; oxygen evolving activity [GO:0010242]; photosystem II assembly [GO:0010207]; photosystem II stabilization [GO:0042549]
A0A098TL83	A0A098TL83	A0A098TL83_9CYAN	unreviewed	50S ribosomal protein L6	rplF rpl6 DO97_03250	Neosynechococcus sphagnicola sy1	179	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0A0J763	A0A0A0J763	A0A0A0J763_9MICO	unreviewed	PHB domain-containing protein	N802_17610	Knoellia sinensis KCTC 19936	364	GO:0016020	membrane [GO:0016020]
A0A0A0JZ89	A0A0A0JZ89	A0A0A0JZ89_9MICO	unreviewed	PHB domain-containing protein	N801_11690	Knoellia aerolata DSM 18566	365	GO:0016020	membrane [GO:0016020]
A0A0C1N213	A0A0C1N213	A0A0C1N213_9CYAN	unreviewed	Phycocyanin	DA73_0228750	Tolypothrix bouteillei VB521301	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0C1QT04	A0A0C1QT04	A0A0C1QT04_9CYAN	unreviewed	Phycobilisome rod-core linker polypeptide CpcG2	DA73_0228710	Tolypothrix bouteillei VB521301	253	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
A0A0C2Q6M5	A0A0C2Q6M5	A0A0C2Q6M5_9CYAN	unreviewed	Uncharacterized protein	SD81_00525	Tolypothrix campylonemoides VB511288	1046	GO:0016021	integral component of membrane [GO:0016021]
A0A0D2JVB6	A0A0D2JVB6	A0A0D2JVB6_9CHLO	unreviewed	Elongation factor Tu, chloroplastic	MNEG_5220	Monoraphidium neglectum	463	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A0D6AAL3	A0A0D6AAL3	A0A0D6AAL3_9CHRO	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno GM3708_160	Geminocystis sp. NIES-3708	429	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A0D6ASF5	A0A0D6ASF5	A0A0D6ASF5_9CHRO	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno GM3709_2588	Geminocystis sp. NIES-3709	429	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A0D8ZTV3	A0A0D8ZTV3	A0A0D8ZTV3_9CYAN	unreviewed	Phosphoglucosamine mutase	UH38_10520	Aliterella atlantica CENA595	479	GO:0005975; GO:0016868; GO:0046872	intramolecular transferase activity, phosphotransferases [GO:0016868]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]
