yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513E9A1H	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
CH601_SYNP6	P12834	CH601_SYNP6	reviewed	60 kDa chaperonin 1 (GroEL protein 1) (Protein Cpn60 1)	groL1 cpn60 groEL groEL1 groL mopA syc1789_d	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
CH60_SYNE7	P22879	CH60_SYNE7	reviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL cpn60 groEL mopA Synpcc7942_2313	Synechococcus elongatus (strain PCC 7942 / FACHB-805) (Anacystis nidulans R2)	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
PHCA_THEEB	P50032	PHCA_THEEB	reviewed	C-phycocyanin alpha subunit	cpcA tlr1958	Thermosynechococcus elongatus (strain BP-1)	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
PYG4_THEEB	P50041	PYG4_THEEB	reviewed	Phycobilisome rod-core linker polypeptide CpcG4	cpcG4 tlr1965	Thermosynechococcus elongatus (strain BP-1)	251	GO:0015979; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
A0A031I2G9	A0A031I2G9	A0A031I2G9_9SPHN	unreviewed	FAS1 domain-containing protein	BW41_01356	Sphingomonas sp. RIT328	184		
A0A067P7C4	A0A067P7C4	A0A067P7C4_PLEOS	unreviewed	Uncharacterized protein	PLEOSDRAFT_1081506	Pleurotus ostreatus PC15	214		
A0A068YQL3	A0A068YQL3	A0A068YQL3_9BURK	unreviewed	Secreted and surface protein containing fasciclin-like repeats		Polaromonas sp. CG9_12	137		
A0A073CMG2	A0A073CMG2	A0A073CMG2_PLAAG	unreviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	glpX A19Y_4476	Planktothrix agardhii NIVA-CYA 126/8	351	GO:0006071; GO:0006094; GO:0019253; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
A0A073CQC6	A0A073CQC6	A0A073CQC6_PLAAG	unreviewed	CcmK	ccmK A19Y_1119	Planktothrix agardhii NIVA-CYA 126/8	113	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A077JHA5	A0A077JHA5	A0A077JHA5_9CYAN	unreviewed	Nitrogen-responsive regulatory protein	ntcA ETSB_1868	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	225	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
