"","Accession","n","Protein.Group","Description","codes","K2","K4","B1","B2","B3","B5","B6","K3","K5","B4","K1"
"1","C1A8L8|CH60_GEMAT",2,2663,"60 kDa chaperonin OS=Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505) OX=379066 GN=groL PE=3 SV=1",379066,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","P12834|CH601_SYNP6",9,354,"60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2",269084,28,28,3,4,4,4,3,8,7,NA,NA
"3","P22879|CH60_SYNE7",9,354,"60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2",1140,28,28,3,4,4,4,3,8,7,NA,NA
"4","tr|A0A067P7C4|A0A067P7C4_PLEOS",7,575,"Uncharacterized protein OS=Pleurotus ostreatus PC15 OX=1137138 GN=PLEOSDRAFT_1081506 PE=4 SV=1",1137138,3,2,2,NA,2,10,26,NA,NA,10,NA
"5","tr|A0A072YN03|A0A072YN03_CLONO",2,2864,"Putative regulatory protein Z958_02495 OS=Clostridium novyi B str. NCTC 9691 OX=1443122 GN=Z958_02495 PE=3 SV=1",1443122,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","tr|A0A073CTD6|A0A073CTD6_PLAAG",2,3048,"RbcR OS=Planktothrix agardhii NIVA-CYA 126/8 OX=388467 GN=rbcR PE=3 SV=1",388467,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tr|A0A074TKP4|A0A074TKP4_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thioclava dalianensis OX=1185766 GN=rpsS PE=3 SV=1",1185766,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"8","tr|A0A076HPL4|A0A076HPL4_9BACT",2,2557,"Uncharacterized protein OS=Hymenobacter sp. APR13 OX=1356852 GN=N008_04050 PE=4 SV=1",1356852,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA
"9","tr|A0A077JHA5|A0A077JHA5_9CYAN",2,2756,"Nitrogen-responsive regulatory protein OS=cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko OX=1228987 GN=ntcA PE=4 SV=1",1228987,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"10","tr|A0A084EMW0|A0A084EMW0_SPHYA",3,2608,"Outer membrane receptor for ferrienterochelin and colicins OS=Sphingobium yanoikuyae OX=13690 GN=BV87_03260 PE=3 SV=1",13690,NA,NA,NA,NA,NA,2,3,NA,NA,3,NA
"11","tr|A0A085F7S6|A0A085F7S6_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. LC85 OX=1502851 GN=rpsS PE=3 SV=1",1502851,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"12","tr|A0A085K6R4|A0A085K6R4_SPHYA",3,2608,"TonB-dependent receptor OS=Sphingobium yanoikuyae OX=13690 GN=EBF16_21390 PE=3 SV=1",13690,NA,NA,NA,NA,NA,2,3,NA,NA,3,NA
"13","tr|A0A086DWB8|A0A086DWB8_9MICO",2,3004,"Uncharacterized protein OS=Cryobacterium sp. MLB-32 OX=1529318 GN=JF66_16395 PE=3 SV=1",1529318,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA
"14","tr|A0A086E115|A0A086E115_9MICO",3,2645,"Membrane protein OS=Cryobacterium sp. MLB-32 OX=1529318 GN=JF66_04865 PE=3 SV=1",1529318,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA
"15","tr|A0A094YRD2|A0A094YRD2_9PROT",5,1327,"Membrane protein OS=Acetobacter tropicalis OX=104102 GN=AD947_12720 PE=4 SV=1",104102,NA,NA,3,4,8,4,6,NA,NA,NA,NA
"16","tr|A0A099JPA2|A0A099JPA2_9MICO",2,3004,"Uncharacterized protein OS=Cryobacterium roopkundense OX=1001240 GN=GY21_03615 PE=3 SV=1",1001240,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA
"17","tr|A0A0B0QSG2|A0A0B0QSG2_APHF2",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Aphanizomenon flos-aquae (strain 2012/KM1/D3) OX=1532906 GN=rpoC1 PE=3 SV=1",1532906,10,8,NA,6,NA,NA,NA,NA,NA,NA,NA
"18","tr|A0A0B0QTB3|A0A0B0QTB3_APHF2",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Aphanizomenon flos-aquae (strain 2012/KM1/D3) OX=1532906 GN=OA07_12830 PE=3 SV=1",1532906,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"19","tr|A0A0C2KRY5|A0A0C2KRY5_9CYAN",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Tolypothrix campylonemoides VB511288 OX=1245935 GN=SD81_28105 PE=3 SV=1",1245935,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"20","tr|A0A0C2MBX4|A0A0C2MBX4_9CYAN",3,2271,"Bicarbonate-binding protein OS=Scytonema tolypothrichoides VB-61278 OX=1233231 GN=SD80_06765 PE=3 SV=1",1233231,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA
"21","tr|A0A0C2PMZ2|A0A0C2PMZ2_9CYAN",2,1948,"Peptidase S8 OS=Tolypothrix campylonemoides VB511288 OX=1245935 GN=SD81_36100 PE=4 SV=1",1245935,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA
