"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"1","P12834|CH601_SYNP6",9,354,"60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2",269084,3,4,4,4,3,NA
"2","P22879|CH60_SYNE7",9,354,"60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2",1140,3,4,4,4,3,NA
"3","tr|A0A067P7C4|A0A067P7C4_PLEOS",7,575,"Uncharacterized protein OS=Pleurotus ostreatus PC15 OX=1137138 GN=PLEOSDRAFT_1081506 PE=4 SV=1",1137138,2,NA,2,10,26,10
"4","tr|A0A074TKP4|A0A074TKP4_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thioclava dalianensis OX=1185766 GN=rpsS PE=3 SV=1",1185766,5,NA,14,NA,NA,NA
"5","tr|A0A076HPL4|A0A076HPL4_9BACT",2,2557,"Uncharacterized protein OS=Hymenobacter sp. APR13 OX=1356852 GN=N008_04050 PE=4 SV=1",1356852,NA,NA,NA,2,5,NA
"6","tr|A0A077JHA5|A0A077JHA5_9CYAN",2,2756,"Nitrogen-responsive regulatory protein OS=cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko OX=1228987 GN=ntcA PE=4 SV=1",1228987,NA,2,NA,NA,NA,NA
"7","tr|A0A084EMW0|A0A084EMW0_SPHYA",3,2608,"Outer membrane receptor for ferrienterochelin and colicins OS=Sphingobium yanoikuyae OX=13690 GN=BV87_03260 PE=3 SV=1",13690,NA,NA,NA,2,3,3
"8","tr|A0A085F7S6|A0A085F7S6_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. LC85 OX=1502851 GN=rpsS PE=3 SV=1",1502851,5,NA,14,NA,NA,NA
"9","tr|A0A085K6R4|A0A085K6R4_SPHYA",3,2608,"TonB-dependent receptor OS=Sphingobium yanoikuyae OX=13690 GN=EBF16_21390 PE=3 SV=1",13690,NA,NA,NA,2,3,3
"10","tr|A0A086DWB8|A0A086DWB8_9MICO",2,3004,"Uncharacterized protein OS=Cryobacterium sp. MLB-32 OX=1529318 GN=JF66_16395 PE=3 SV=1",1529318,NA,NA,3,NA,2,NA
"11","tr|A0A086E115|A0A086E115_9MICO",3,2645,"Membrane protein OS=Cryobacterium sp. MLB-32 OX=1529318 GN=JF66_04865 PE=3 SV=1",1529318,NA,NA,2,2,3,NA
"12","tr|A0A094YRD2|A0A094YRD2_9PROT",5,1327,"Membrane protein OS=Acetobacter tropicalis OX=104102 GN=AD947_12720 PE=4 SV=1",104102,3,4,8,4,6,NA
"13","tr|A0A099JPA2|A0A099JPA2_9MICO",2,3004,"Uncharacterized protein OS=Cryobacterium roopkundense OX=1001240 GN=GY21_03615 PE=3 SV=1",1001240,NA,NA,3,NA,2,NA
"14","tr|A0A0B0QSG2|A0A0B0QSG2_APHF2",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Aphanizomenon flos-aquae (strain 2012/KM1/D3) OX=1532906 GN=rpoC1 PE=3 SV=1",1532906,NA,6,NA,NA,NA,NA
"15","tr|A0A0B0QTB3|A0A0B0QTB3_APHF2",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Aphanizomenon flos-aquae (strain 2012/KM1/D3) OX=1532906 GN=OA07_12830 PE=3 SV=1",1532906,NA,5,3,NA,NA,NA
"16","tr|A0A0C2KRY5|A0A0C2KRY5_9CYAN",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Tolypothrix campylonemoides VB511288 OX=1245935 GN=SD81_28105 PE=3 SV=1",1245935,NA,5,3,NA,NA,NA
"17","tr|A0A0C2MBX4|A0A0C2MBX4_9CYAN",3,2271,"Bicarbonate-binding protein OS=Scytonema tolypothrichoides VB-61278 OX=1233231 GN=SD80_06765 PE=3 SV=1",1233231,2,3,NA,NA,NA,NA
"18","tr|A0A0C2PMZ2|A0A0C2PMZ2_9CYAN",2,1948,"Peptidase S8 OS=Tolypothrix campylonemoides VB511288 OX=1245935 GN=SD81_36100 PE=4 SV=1",1245935,NA,12,3,NA,NA,NA
"19","tr|A0A0D6P902|A0A0D6P902_9PROT",3,2283,"Oxidoreductase OS=Acidisphaera rubrifaciens HS-AP3 OX=1231350 GN=Asru_0478_10 PE=4 SV=1",1231350,2,6,3,NA,NA,NA
"20","tr|A0A0D8ZWM1|A0A0D8ZWM1_9CYAN",5,1355,"Membrane protein OS=Aliterella atlantica CENA595 OX=1618023 GN=UH38_11225 PE=3 SV=1",1618023,5,9,4,2,3,NA
"21","tr|A0A0D8ZX73|A0A0D8ZX73_9CYAN",5,1958,"Phospholipid-binding protein OS=Aliterella atlantica CENA595 OX=1618023 GN=UH38_00850 PE=4 SV=1",1618023,2,NA,2,2,NA,NA
"22","tr|A0A0K1PM48|A0A0K1PM48_9DELT",5,1153,"DNA-binding protein HU  putative OS=Labilithrix luteola OX=1391654 GN=AKJ09_01261 PE=3 SV=1",1391654,4,9,7,2,6,NA
"23","tr|A0A0K1SAE5|A0A0K1SAE5_9CHRO",2,2756,"Global nitrogen regulatory protein CRP family of transcriptional regulator OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_6260 PE=4 SV=1",1638788,NA,2,NA,NA,NA,NA
"24","tr|A0A0K2LVT4|A0A0K2LVT4_9NOST",3,2389,"Peptidyl-prolyl cis-trans isomerase OS=Anabaena sp. WA102 OX=1647413 GN=AA650_05135 PE=3 SV=1",1647413,2,NA,4,NA,NA,NA
"25","tr|A0A0K2M0Z0|A0A0K2M0Z0_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. WA102 OX=1647413 GN=AA650_14630 PE=3 SV=1",1647413,NA,5,3,NA,NA,NA
"26","tr|A0A0K2ZX84|A0A0K2ZX84_XANCT",8,1239,"FAS1 domain-containing protein OS=Xanthomonas translucens pv. poae OX=227946 GN=XTPLMG728_2020 PE=4 SV=1",227946,5,4,4,3,2,5
"27","tr|A0A0M4SHD6|A0A0M4SHD6_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc piscinale CENA21 OX=224013 GN=ndk PE=3 SV=1",224013,NA,3,2,NA,2,NA
"28","tr|A0A0M6YKP4|A0A0M6YKP4_9RHOB",2,1604,"30S ribosomal protein S19 OS=Jannaschia donghaensis OX=420998 GN=rpsS PE=3 SV=1",420998,5,NA,14,NA,NA,NA
