"","Protein.Group","Accession","Description","probe_name","n_spec","codes"
"1",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","B1",13,2762323
"2",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","B2",10,2762323
"3",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","B3",18,2762323
"4",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","B4",57,2762323
"5",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","B5",28,2762323
"6",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","B6",71,2762323
"7",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","K1",0,2762323
"8",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","K2",0,2762323
"9",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","K3",0,2762323
"10",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","K4",0,2762323
"11",119,"tr|A0A7G8W4X9|A0A7G8W4X9_9BURK","Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1","K5",0,2762323
"12",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B1",41,1920490
"13",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B2",63,1920490
"14",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B3",54,1920490
"15",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B4",1,1920490
"16",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B5",21,1920490
"17",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B6",31,1920490
"18",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K1",23,1920490
"19",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K2",76,1920490
"20",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K3",18,1920490
"21",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K4",69,1920490
"22",5,"tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K5",31,1920490
"23",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","B1",34,47254
"24",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","B2",38,47254
"25",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","B3",43,47254
"26",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","B4",1,47254
"27",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","B5",15,47254
"28",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","B6",22,47254
"29",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","K1",35,47254
"30",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","K2",103,47254
